Species,Endemicity
Punomys lemminus,Continental
Raphicerus melanotis,Continental
Raphicerus sharpei,Continental
Raphicerus campestris,Continental
Rattus osgoodi,Continental
Ratufa indica,Continental
Redunca arundinum,Continental
Redunca fulvorufula,Continental
Redunca redunca,Continental
Rheomys underwoodi,Continental
Reithrodontomys raviventris,Continental
Reithrodontomys brevirostris,Continental
Reithrodontomys burti,Continental
Reithrodontomys chrysopsis,Continental
Reithrodontomys creper,Continental
Reithrodontomys darienensis,Continental
Reithrodontomys microdon,Continental
Sorex ventralis,Continental
Reithrodontomys paradoxus,Continental
Reithrodontomys rodriguezi,Continental
Rhinoceros unicornis,Continental
Reithrodontomys tenuirostris,Continental
Rhabdomys pumilio,Continental
Rhagomys rufescens,Continental
Rheomys mexicanus,Continental
Rheomys raptor,Continental
Rheomys thomasi,Continental
Speothos venaticus,Continental
Spermophilus citellus,Continental
Rhinopithecus roxellana,Continental
Rhinopithecus bieti,Continental
Rhinopithecus avunculus,Continental
Rhinopithecus brelichi,Continental
Rhipidomys austrinus,Continental
Rhipidomys caucensis,Continental
Rhipidomys fulviventer,Continental
Rhipidomys macconnelli,Continental
Rhipidomys ochrogaster,Continental
Rhynchocyon chrysopygus,Continental
Rhynchocyon cirnei,Continental
Romerolagus diazi,Continental
Sylvilagus cunicularius,Continental
Sylvisorex howelli,Continental
Rupicapra pyrenaica,Continental
Saguinus leucopus,Continental
Saguinus oedipus,Continental
Saguinus tripartitus,Continental
Saiga tatarica,Continental
Saimiri oerstedii,Continental
Salpingotus crassicauda,Continental
Salpingotulus michaelis,Continental
Spermophilus major,Continental
Sciurus variegatoides,Continental
Scapteromys tumidus,Continental
Sciurillus pusillus,Continental
Sciurotamias forresti,Continental
Sciurus alleni,Continental
Sciurus arizonensis,Continental
Sciurus aureogaster,Continental
Sciurus colliaei,Continental
Sciurus flammifer,Continental
Sciurus gilvigularis,Continental
Sciurus oculatus,Continental
Sciurus ignitus,Continental
Sciurus pucheranii,Continental
Sciurus pyrrhinus,Continental
Sciurus richmondi,Continental
Sciurus sanborni,Continental
Scotinomys teguina,Continental
Scotinomys xerampelinus,Continental
Sigmodon fulviventer,Continental
Sigmodon inopinatus,Continental
Sigmodon leucotis,Continental
Sicista armenica,Continental
Sicista caucasica,Continental
Sicista kazbegica,Continental
Sicista pseudonapaea,Continental
Sminthopsis douglasi,Continental
Sicista subtilis,Continental
Sicista tianshanica,Continental
Sicista kluchorica,Continental
Sigmodon alleni,Continental
Sigmodon arizonae,Continental
Thomasomys baeops,Continental
Sigmodontomys aphrastus,Continental
Thomasomys bombycinus,Continental
Sminthopsis psammophila,Continental
Sminthopsis fuliginosus,Continental
Sorex cansulus,Continental
Sorex excelsus,Continental
Sorex kozlovi,Continental
Sorex sinalis,Continental
Sorex macrodon,Continental
Sorex oreopolus,Continental
Sorex sclateri,Continental
Sorex stizodon,Continental
Sorex milleri,Continental
Spalax arenarius,Continental
Chodsigoa salenskii,Continental
Spalacopus cyanus,Continental
Spalax giganteus,Continental
Spalax graecus,Continental
Xerospermophilus mohavensis,Continental
Notocitellus adocetus,Continental
Urocitellus townsendii,Continental
Notocitellus annulatus,Continental
Otospermophilus beecheyi,Continental
Spermophilus fulvus,Continental
Callospermophilus madrensis,Continental
Ictidomys mexicanus,Continental
Xerospermophilus perotensis,Continental
Spermophilus pygmaeus,Continental
Spermophilus relictus,Continental
Spermophilus suslicus,Continental
Xerospermophilus tereticaudus,Continental
Urocitellus undulatus,Continental
Spermophilus xanthoprymnus,Continental
Coendou mexicanus,Continental
Coendou spinosus,Continental
Coendou insidiosus,Continental
Coendou vestitus,Continental
Steatomys cuppedius,Continental
Steatomys caurinus,Continental
Steatomys parvus,Continental
Stenocephalemys albocaudata,Continental
Stochomys longicaudatus,Continental
Stylodipus andrewsi,Continental
Stylodipus sungorus,Continental
Stylodipus telum,Continental
Suncus remyi,Continental
Porcula salvania,Continental
Sus bucculentus,Continental
Sylvicapra grimmia,Continental
Sylvisorex ollula,Continental
Sylvisorex vulcanorum,Continental
Syncerus caffer,Continental
Syntheosciurus brochus,Continental
Tachyoryctes splendens,Continental
Trachypithecus pileatus,Continental
Neotamias obscurus,Continental
Neotamias canipes,Continental
Tamandua mexicana,Continental
Tamiasciurus mearnsi,Continental
Tamiops macclellandii,Continental
Neotamias palmeri,Continental
Neotamias bulleri,Continental
Neotamias durangae,Continental
Neotamias merriami,Continental
Tamiops rodolphii,Continental
Tamiops swinhoei,Continental
Tapirus bairdii,Continental
Gerbilliscus afra,Continental
Tapirus pinchaque,Continental
Gerbilliscus nigricaudus,Continental
Gerbilliscus phillipsi,Continental
Gerbilliscus validus,Continental
Thomasomys cinereiventer,Continental
Gerbilliscus guineae,Continental
Thomasomys cinereus,Continental
Thomasomys eleusis,Continental
Taterillus congicus,Continental
Taterillus pygargus,Continental
Thomasomys gracilis,Continental
Thomasomys hylophilus,Continental
Taterillus lacustris,Continental
Taterillus petteri,Continental
Tetracerus quadricornis,Continental
Thallomys shortridgei,Continental
Thalpomys cerradensis,Continental
Thalpomys lasiotis,Continental
Thomasomys incanus,Continental
Thomasomys ischyrus,Continental
Thamnomys venustus,Continental
Thamnomys kempi,Continental
Thomasomys kalinowskii,Continental
Thomasomys ladewi,Continental
Thomasomys laniger,Continental
Thomasomys monochromos,Continental
Thomasomys niveipes,Continental
Thomasomys notatus,Continental
Thomomys idahoensis,Continental
Thomasomys oreas,Continental
Thomasomys paramorum,Continental
Thomasomys pyrrhonotus,Continental
Thomasomys rosalinda,Continental
Thomasomys silvestris,Continental
Thomasomys taczanowskii,Continental
Thomasomys vestitus,Continental
Thrichomys apereoides,Continental
Thryonomys gregorianus,Continental
Thylamys macrurus,Continental
Tragelaphus strepsiceros,Continental
Trachypithecus phayrei,Continental
Trachypithecus delacouri,Continental
Trachypithecus laotum,Continental
Tremarctos ornatus,Continental
Typhlomys cinereus,Continental
Panthera uncia,Continental
Trogopterus xanthipes,Continental
Tylomys bullaris,Continental
Tylomys fulviventer,Continental
Tylomys mirae,Continental
Tylomys nudicaudus,Continental
Tylomys panamensis,Continental
Tylomys tumbalensis,Continental
Tylomys watsoni,Continental
Tympanoctomys barrerae,Continental
Uranomys ruddi,Continental
Urocyon cinereoargenteus,Continental
Uromys hadrourus,Continental
Marmosops noctivagus,Continental
Metachirus nudicaudatus,Continental
Marmosa demerarae,Continental
Uropsilus investigator,Continental
Uropsilus soricipes,Continental
Ursus maritimus,Continental
Caenolestes caniventer,Continental
Caenolestes convelatus,Continental
Vernaya fulva,Continental
Vicugna vicugna,Continental
Xenomys nelsoni,Continental
Volemys musseri,Continental
Viverra civettina,Continental
Volemys millicens,Continental
Vulpes bengalensis,Continental
Vulpes cana,Continental
Vulpes corsac,Continental
Vulpes pallida,Continental
Vulpes velox,Continental
Vulpes chama,Continental
Vulpes ferrilata,Continental
Wiedomys pyrrhorhinos,Continental
Wilfredomys oenax,Continental
Mazama nana,Continental
Mazama pandora,Continental
Zygodontomys brunneus,Continental
Zygogeomys trichopus,Continental
Zyzomys pedunculatus,Continental
Zyzomys maini,Continental
Zyzomys palatalis,Continental
Proechimys pattoni,Continental
Hylaeamys tatei,Continental
Euryoryzomys emmonsae,Continental
Oligoryzomys stramineus,Continental
Proechimys gardneri,Continental
Loxodontomys pikumche,Continental
Crocidura serezkyensis,Continental
Neomys teres,Continental
Sorex granarius,Continental
Sorex raddei,Continental
Sorex volnuchini,Continental
Mustela eversmanii,Continental
Damaliscus pygargus,Continental
Aotus brumbacki,Continental
Oreonax flavicauda,Continental
Lagothrix cana,Continental
Didelphis albiventris,Continental
Didelphis aurita,Continental
Anathana ellioti,Continental
Paraechinus nudiventris,Continental
Sminthopsis gilberti,Continental
Sminthopsis hirtipes,Continental
Ovis dalli,Continental
Rupicapra rupicapra,Continental
Pattonomys occasius,Continental
Pygathrix nigripes,Continental
Semnopithecus entellus,Continental
Microtus gerbei,Continental
Semnopithecus hypoleucos,Continental
Semnopithecus schistaceus,Continental
Glaucomys sabrinus,Continental
Sminthopsis longicaudata,Continental
Sminthopsis macroura,Continental
Sminthopsis murina,Continental
Hoolock leuconedys,Continental
Sminthopsis ooldea,Continental
Pygathrix nemaeus,Continental
Semnopithecus ajax,Continental
Semnopithecus dussumieri,Continental
Semnopithecus hector,Continental
Trachypithecus francoisi,Continental
Trachypithecus shortridgei,Continental
Hoolock hoolock,Continental
Sminthopsis bindi,Continental
Mico leucippe,Continental
Nomascus leucogenys,Continental
Mico nigriceps,Continental
Nomascus siki,Continental
Mico chrysoleucos,Continental
Mico intermedius,Continental
Lagothrix lugens,Continental
Lagothrix poeppigii,Continental
Callicebus ornatus,Continental
Callicebus barbarabrownae,Continental
Saguinus nigricollis,Continental
Callicebus melanochir,Continental
Callicebus nigrifrons,Continental
Callicebus medemi,Continental
Saguinus fuscicollis,Continental
Callicebus coimbrai,Continental
Chiropotes satanas,Continental
Alouatta belzebul,Continental
Saguinus imperator,Continental
Gorilla beringei,Continental
Aotus zonalis,Continental
Ateles hybridus,Continental
Piliocolobus badius,Continental
Piliocolobus gordonorum,Continental
Cebus kaapori,Continental
Didelphis virginiana,Continental
Lutreolina crassicaudata,Continental
Marmosa rubra,Continental
Marmosa regina,Continental
Monodelphis brevicaudata,Continental
Monodelphis domestica,Continental
Philander andersoni,Continental
Thylamys velutinus,Continental
Antechinus stuartii,Continental
Ningaui ridei,Continental
Ningaui timealeyi,Continental
Ningaui yvonneae,Continental
Planigale gilesi,Continental
Planigale ingrami,Continental
Planigale tenuirostris,Continental
Pseudantechinus macdonnellensis,Continental
Pseudantechinus woolleyae,Continental
Sminthopsis youngsoni,Continental
Aepyprymnus rufescens,Continental
Abrocoma cinerea,Continental
Hypsiprymnodon moschatus,Continental
Galagoides orinus,Continental
Macropus dorsalis,Continental
Galagoides rondoensis,Continental
Macropus parryi,Continental
Macropus rufus,Continental
Onychogalea unguifera,Continental
Crocidura buettikoferi,Continental
Petauroides volans,Continental
Tarsipes rostratus,Continental
Carpitalpa arendsi,Continental
Huetia leucorhina,Continental
Elephantulus myurus,Continental
Elephantulus rozeti,Continental
Chrysochloris stuhlmanni,Continental
Blarinella quadraticauda,Continental
Crocidura aleksandrisi,Continental
Crocidura arabica,Continental
Crocidura batesi,Continental
Crocidura denti,Continental
Crocidura douceti,Continental
Leontopithecus chrysomelas,Continental
Saguinus bicolor,Continental
Papio anubis,Continental
Galagoides granti,Continental
Nilopegamys plumbeus,Continental
Dryomys niethammeri,Continental
Pearsonomys annectens,Continental
Trachypithecus hatinhensis,Continental
Ochotona hoffmanni,Continental
Equus quagga,Continental
Lepus comus,Continental
Lepus coreanus,Continental
Mazama bororo,Continental
Piliocolobus epieni,Continental
Piliocolobus preussi,Continental
Nesolagus timminsi,Continental
Praomys degraaffi,Continental
Ochotona alpina,Continental
Ochotona cansus,Continental
Saguinus martinsi,Continental
Ochotona collaris,Continental
Ochotona curzoniae,Continental
Ochotona dauurica,Continental
Ochotona erythrotis,Continental
Ochotona gloveri,Continental
Ochotona ladacensis,Continental
Ochotona macrotis,Continental
Ochotona princeps,Continental
Ochotona roylei,Continental
Ochotona rufescens,Continental
Ochotona rutila,Continental
Ochotona thibetana,Continental
Lepus californicus,Continental
Sylvilagus nuttallii,Continental
Sylvilagus cognatus,Continental
Lepus mandshuricus,Continental
Lepus oiostolus,Continental
Lepus peguensis,Continental
Lepus saxatilis,Continental
Sylvilagus robustus,Continental
Sylvilagus varynaensis,Continental
Lepus starcki,Continental
Pronolagus randensis,Continental
Lepus townsendii,Continental
Lepus habessinicus,Continental
Oryctolagus cuniculus,Continental
Poelagus marjorita,Continental
Pronolagus rupestris,Continental
Sylvilagus aquaticus,Continental
Sylvilagus audubonii,Continental
Sylvilagus brasiliensis,Continental
Pronolagus crassicaudatus,Continental
Sylvilagus obscurus,Continental
Sylvilagus bachmani,Continental
Lepus tibetanus,Continental
Crocidura gmelini,Continental
Crocidura grandiceps,Continental
Amblysomus hottentotus,Continental
Crocidura nana,Continental
Crocidura lamottei,Continental
Crocidura montis,Continental
Crocidura nigricans,Continental
Crocidura niobe,Continental
Crocidura pullata,Continental
Crocidura tarella,Continental
Crocidura tarfayensis,Continental
Cryptotis montivaga,Continental
Crocidura theresae,Continental
Cryptotis mexicana,Continental
Cryptotis goldmani,Continental
Cryptotis goodwini,Continental
Cryptotis meridensis,Continental
Cryptotis nigrescens,Continental
Cryptotis squamipes,Continental
Sorex alaskanus,Continental
Sorex asper,Continental
Cryptotis thomasi,Continental
Myosorex babaulti,Continental
Sorex lyelli,Continental
Sorex mirabilis,Continental
Sorex bairdi,Continental
Sorex bedfordiae,Continental
Sorex buchariensis,Continental
Sorex camtschatica,Continental
Soriculus nigrescens,Continental
Sorex emarginatus,Continental
Sorex fumeus,Continental
Sorex pacificus,Continental
Sorex planiceps,Continental
Sorex tenellus,Continental
Sorex thibetanus,Continental
Sorex saussurei,Continental
Sorex sonomae,Continental
Sorex veraepacis,Continental
Episoriculus caudatus,Continental
Chodsigoa lamula,Continental
Chodsigoa smithii,Continental
Suncus lixus,Continental
Suncus infinitesimus,Continental
Scutisorex somereni,Continental
Suncus varilla,Continental
Sylvisorex granti,Continental
Sylvisorex lunaris,Continental
Suncus megalura,Continental
Nectogale elegans,Continental
Megasorex gigas,Continental
Euroscaptor grandis,Continental
Euroscaptor longirostris,Continental
Euroscaptor micrura,Continental
Mogera robusta,Continental
Scapanus townsendii,Continental
Parascaptor leucura,Continental
Scaptonyx fusicaudus,Continental
Talpa altaica,Continental
Talpa caucasica,Continental
Talpa levantis,Continental
Talpa romana,Continental
Uropsilus andersoni,Continental
Uropsilus gracilis,Continental
Dendrogale murina,Continental
Ochotona turuchanensis,Continental
Orycteropus afer,Continental
Caenolestes fuliginosus,Continental
Lestoros inca,Continental
Herpestes naso,Continental
Sminthopsis granulipes,Continental
Sminthopsis griseoventer,Continental
Saimiri sciureus,Continental
Mellivora capensis,Continental
Conepatus chinga,Continental
Conepatus humboldtii,Continental
Conepatus leuconotus,Continental
Conepatus semistriatus,Continental
Mephitis macroura,Continental
Mephitis mephitis,Continental
Spilogale putorius,Continental
Spilogale pygmaea,Continental
Galictis vittata,Continental
Petrogale godmani,Continental
Petrogale herberti,Continental
Callithrix penicillata,Continental
Mico argentatus,Continental
Mico humeralifer,Continental
Saguinus inustus,Continental
Aotus azarae,Continental
Saguinus labiatus,Continental
Saguinus mystax,Continental
Saguinus midas,Continental
Trachypithecus barbei,Continental
Nomascus nasutus,Continental
Cebuella pygmaea,Continental
Saimiri boliviensis,Continental
Saimiri ustus,Continental
Aotus nigriceps,Continental
Aotus trivirgatus,Continental
Alouatta caraya,Continental
Aotus vociferans,Continental
Alouatta sara,Continental
Ateles chamek,Continental
Callicebus donacophilus,Continental
Callicebus pallescens,Continental
Callicebus modestus,Continental
Callicebus cupreus,Continental
Callicebus caligatus,Continental
Callicebus discolor,Continental
Callicebus stephennashi,Continental
Callicebus moloch,Continental
Callicebus cinerascens,Continental
Callicebus brunneus,Continental
Pithecia albicans,Continental
Miopithecus ogouensis,Continental
Callicebus hoffmannsi,Continental
Mustela altaica,Continental
Mustela frenata,Continental
Callicebus baptista,Continental
Mico acariensis,Continental
Mico mauesi,Continental
Callicebus bernhardi,Continental
Mico humilis,Continental
Callicebus torquatus,Continental
Callicebus lugens,Continental
Crossarchus alexandri,Continental
Crossarchus ansorgei,Continental
Crossarchus obscurus,Continental
Callicebus lucifer,Continental
Callicebus purinus,Continental
Crossarchus platycephalus,Continental
Cynictis penicillata,Continental
Dologale dybowskii,Continental
Callicebus regulus,Continental
Vulpes macrotis,Continental
Vulpes zerda,Continental
Herpestes flavescens,Continental
Bdeogale nigripes,Continental
Herpestes pulverulentus,Continental
Helogale hirtula,Continental
Helogale parvula,Continental
Paracynictis selousi,Continental
Rhynchogale melleri,Continental
Suricata suricatta,Continental
Melogale personata,Continental
Ictonyx libycus,Continental
Ictonyx striatus,Continental
Lyncodon patagonicus,Continental
Mustela subpalmata,Continental
Neovison vison,Continental
Poecilogale albinucha,Continental
Taxidea taxus,Continental
Potos flavus,Continental
Genetta angolensis,Continental
Genetta genetta,Continental
Genetta thierryi,Continental
Genetta tigrina,Continental
Genetta victoriae,Continental
Prionodon pardicolor,Continental
Viverra megaspila,Continental
Procavia capensis,Continental
Phacochoerus aethiopicus,Continental
Hylochoerus meinertzhageni,Continental
Potamochoerus porcus,Continental
Isothrix sinnamariensis,Continental
Poliocitellus franklinii,Continental
Cynomys leucurus,Continental
Marmota olympus,Continental
Urocitellus columbianus,Continental
Sciurus aberti,Continental
Urocitellus beldingi,Continental
Urocitellus canus,Continental
Urocitellus elegans,Continental
Urocitellus armatus,Continental
Urocitellus mollis,Continental
Callospermophilus lateralis,Continental
Neotamias alpinus,Continental
Spermophilus musicus,Continental
Urocitellus richardsonii,Continental
Callospermophilus saturatus,Continental
Xerospermophilus spilosoma,Continental
Ictidomys tridecemlineatus,Continental
Neotamias cinereicollis,Continental
Neotamias ochrogenys,Continental
Neotamias panamintinus,Continental
Neotamias quadrimaculatus,Continental
Neotamias ruficaudus,Continental
Neotamias senex,Continental
Neotamias siskiyou,Continental
Thomomys monticola,Continental
Orthogeomys lanius,Continental
Microtus canicaudus,Continental
Orthogeomys underwoodi,Continental
Thomomys bulbivorus,Continental
Thomomys clusius,Continental
Microtus xanthognathus,Continental
Dipodomys heermanni,Continental
Perognathus inornatus,Continental
Spalax zemni,Continental
Dipodomys microps,Continental
Abrocoma bennettii,Continental
Dipodomys venustus,Continental
Arborimus longicaudus,Continental
Microtus montanus,Continental
Microtus umbrosus,Continental
Synaptomys borealis,Continental
Elephantulus brachyrhynchus,Continental
Elephantulus fuscipes,Continental
Elephantulus fuscus,Continental
Elephantulus intufi,Continental
Elephantulus rufescens,Continental
Petrodromus tetradactylus,Continental
Mico emiliae,Continental
Mico saterei,Continental
Saguinus niger,Continental
Sapajus macrocephalus,Continental
Chiropotes chiropotes,Continental
Chiropotes utahickae,Continental
Aonyx cinereus,Continental
Alouatta discolor,Continental
Poiana leightoni,Continental
Tragelaphus derbianus,Continental
Fukomys darlingi,Continental
Fukomys kafuensis,Continental
Trachypithecus johnii,Continental
Muntiacus vuquangensis,Continental
Muntiacus truongsonensis,Continental
Sylvisorex konganensis,Continental
Gerbillus rupicola,Continental
Fukomys anselli,Continental
Hylomyscus grandis,Continental
Lophuromys roseveari,Continental
Lophuromys brevicaudus,Continental
Lophuromys huttereri,Continental
Mastomys awashensis,Continental
Mastomys huberti,Continental
Otomys lacustris,Continental
Otomys barbouri,Continental
Acomys seurati,Continental
Otomys burtoni,Continental
Graphiurus angolensis,Continental
Congosorex verheyeni,Continental
Acomys airensis,Continental
Aethomys ineptus,Continental
Arvicanthis ansorgei,Continental
Arvicanthis rufinus,Continental
Mastomys kollmannspergeri,Continental
Myosorex kihaulei,Continental
Gerbillus campestris,Continental
Praomys petteri,Continental
Gerbilliscus gambiana,Continental
Taterillus tranieri,Continental
Praomys lukolelae,Continental
Stenocephalemys albipes,Continental
Myomyscus verreauxii,Continental
Mylomys rex,Continental
Amblysomus robustus,Continental
Amblysomus septentrionalis,Continental
Dasypus yepesi,Continental
Amblysomus corriae,Continental
Amblysomus marleyi,Continental
Camelus ferus,Continental
Nanger soemmerringii,Continental
Sorex ixtlanensis,Continental
Akodon philipmyersi,Continental
Aotus jorgehernandezi,Continental
Trinomys gratiosus,Continental
Kerodon acrobata,Continental
Thomasomys erro,Continental
Sapajus libidinosus,Continental
Cryptotis nelsoni,Continental
Ctenomys osvaldoreigi,Continental
Microtus schidlovskii,Continental
Brucepattersonius guarani,Continental
Tragulus williamsoni,Continental
Akodon paranaensis,Continental
Spermophilus pallidicauda,Continental
Microtus dogramacii,Continental
Aepeomys reigi,Continental
Hylomys megalotis,Continental
Rhipidomys emiliae,Continental
Eothenomys wardi,Continental
Brucepattersonius paradisus,Continental
Thomasomys popayanus,Continental
Nectomys magdalenae,Continental
Neusticomys ferreirai,Continental
Microtus anatolicus,Continental
Thylamys tatei,Continental
Marmosa phaea,Continental
Thrichomys pachyurus,Continental
Ctenomys goodfellowi,Continental
Sorex neomexicanus,Continental
Juscelinomys guaporensis,Continental
Genetta pardina,Continental
Marmosops neblina,Continental
Thomasomys vulcani,Continental
Philander frenatus,Continental
Cryptotis equatoris,Continental
Microtus brachycercus,Continental
Sorex veraecrucis,Continental
Callicebus aureipalatii,Continental
Reithrodontomys bakeri,Continental
Thomasomys cinnameus,Continental
Cryptotis medellinia,Continental
Cerradomys andersoni,Continental
Saguinus melanoleucus,Continental
Talpa davidiana,Continental
Mus musculoides,Continental
Meles leucurus,Continental
Philander mondolfii,Continental
Chlorocebus tantalus,Continental
Oxymycterus amazonicus,Continental
Rhipidomys modicus,Continental
Galagoides cocos,Continental
Sciurocheirus gabonensis,Continental
Cratogeomys fulvescens,Continental
Microtus paradoxus,Continental
Genetta bourloni,Continental
Suncus aequatorius,Continental
Graomys centralis,Continental
Crocidura hilliana,Continental
Philander deltae,Continental
Salinomys delicatus,Continental
Ctenomys dorbignyi,Continental
Ctenomys johannis,Continental
Sorex rohweri,Continental
Cratogeomys planiceps,Continental
Trichosurus cunninghami,Continental
Geomys knoxjonesi,Continental
Chodsigoa caovansunga,Continental
Akodon mystax,Continental
Euneomys fossor,Continental
Hylaeamys acritus,Continental
Mesomys occultus,Continental
Crocidura arispa,Continental
Phyllomys mantiqueirensis,Continental
Cerradomys maracajuensis,Continental
Hydrochoerus isthmius,Continental
Marmosops paulensis,Continental
Mus fragilicauda,Continental
Punomys kofordi,Continental
Ctenomys pilarensis,Continental
Mazama temama,Continental
Chlorocebus cynosuros,Continental
Muntiacus puhoatensis,Continental
Mico melanurus,Continental
Chodsigoa parva,Continental
Ctenomys coyhaiquensis,Continental
Marmosops bishopi,Continental
Cryptotis mera,Continental
Mazama bricenii,Continental
Abrocoma uspallata,Continental
Dremomys gularis,Continental
Calomys venustus,Continental
Trinomys mirapitanga,Continental
Ctenomys coludo,Continental
Rhynchocyon udzungwensis,Continental
Thomasomys praetor,Continental
Peromyscus beatae,Continental
Aconaemys porteri,Continental
Oligoryzomys moojeni,Continental
Delomys collinus,Continental
Nephelomys meridensis,Continental
Alouatta nigerrima,Continental
Heteromys teleus,Continental
Abrocoma budini,Continental
Tonkinomys daovantieni,Continental
Neacomys paracou,Continental
Juscelinomys huanchacae,Continental
Microtus majori,Continental
Thrichomys inermis,Continental
Rhipidomys cariri,Continental
Tragulus versicolor,Continental
Chaetodipus lineatus,Continental
Marmosops juninensis,Continental
Blarinella griselda,Continental
Sapajus cay,Continental
Abrocoma famatina,Continental
Cerradomys scotti,Continental
Ctenomys pundti,Continental
Brucepattersonius griserufescens,Continental
Geomys attwateri,Continental
Monodelphis reigi,Continental
Didelphis pernigra,Continental
Cratogeomys perotensis,Continental
Phyllomys lundi,Continental
Monodelphis ronaldi,Continental
Sigmodon planifrons,Continental
Trinomys eliasi,Continental
Akodon oenos,Continental
Thomasomys caudivarius,Continental
Trinomys yonenagae,Continental
Peromyscus hylocetes,Continental
Hadromys yunnanensis,Continental
Leopoldamys milleti,Continental
Oligoryzomys rupestris,Continental
Akodon aliquantulus,Continental
Cryptotis mayensis,Continental
Brucepattersonius soricinus,Continental
Cryptotis obscura,Continental
Petrogale purpureicollis,Continental
Ctenomys flamarioni,Continental
Oxymycterus josei,Continental
Crocidura vorax,Continental
Spermophilus ralli,Continental
Brucepattersonius misionensis,Continental
Proedromys liangshanensis,Continental
Cuscomys ashaninka,Continental
Microakodontomys transitorius,Continental
Eliomys munbyanus,Continental
Laonastes aenigmamus,Continental
Thomasomys macrotis,Continental
Muntiacus putaoensis,Continental
Coendou pruinosus,Continental
Alouatta arctoidea,Continental
Thomasomys ucucha,Continental
Trinomys paratus,Continental
Ctenomys fochi,Continental
Philander mcilhennyi,Continental
Eothenomys cachinus,Continental
Marmosa quichua,Continental
Petrogale mareeba,Continental
Cerradomys marinhus,Continental
Steatomys opimus,Continental
Monodelphis palliolata,Continental
Coendou roosmalenorum,Continental
Rhagomys longilingua,Continental
Abrocoma shistacea,Continental
Cricetulus tibetanus,Continental
Oligoryzomys brendae,Continental
Sorex yukonicus,Continental
Trinomys moojeni,Continental
Cryptonanus agricolai,Continental
Abrocoma vaccarum,Continental
Chacodelphys formosa,Continental
Cryptotis peregrina,Continental
Habromys ixtlani,Continental
Moschiola indica,Continental
Neodon forresti,Continental
Antechinus adustus,Continental
Ctenomys juris,Continental
Tympanoctomys aureus,Continental
Juliomys rimofrons,Continental
Microtus qazvinensis,Continental
Ctenomys lami,Continental
Ctenomys scagliai,Continental
Macaca munzala,Continental
Neacomys minutus,Continental
Thomasomys onkiro,Continental
Peromyscus schmidlyi,Continental
Marmosops pinheiroi,Continental
Ctenomys famosus,Continental
Spermophilus taurensis,Continental
Didelphis imperfecta,Continental
Ctenomys sylvanus,Continental
Coendou ichillus,Continental
Crocidura virgata,Continental
Ctenomys fodax,Continental
Steatomys bocagei,Continental
Lophuromys eisentrauti,Continental
Cryptotis griseoventris,Continental
Cercocebus agilis,Continental
Habromys schmidlyi,Continental
Thylamys venustus,Continental
Ctenomys roigi,Continental
Crocidura katinka,Continental
Ctenomys rionegrensis,Continental
Spilogale angustifrons,Continental
Moschus anhuiensis,Continental
Heteromys oasicus,Continental
Cryptotis phillipsii,Continental
Cacajao hosomi,Continental
Cratogeomys goldmani,Continental
Neacomys musseri,Continental
Sorex mediopua,Continental
Cuscomys oblativa,Continental
Myoprocta pratti,Continental
Echimys vieirai,Continental
Thylamys karimii,Continental
Notiosorex cockrumi,Continental
Thomasomys apeco,Continental
Chelemys delfini,Continental
Brucepattersonius igniventris,Continental
Phyllotis anitae,Continental
Akodon pervalens,Continental
Calomys tocantinsi,Continental
Phyllomys kerri,Continental
Ctenomys yolandae,Continental
Habromys delicatulus,Continental
Ctenomys bergi,Continental
Notiosorex villai,Continental
Akodon reigi,Continental
Ctenomys budini,Continental
Sorex orizabae,Continental
Coendou quichua,Continental
Phyllomys medius,Continental
Peromyscus sagax,Continental
Mazama nemorivaga,Continental
Pronolagus saundersiae,Continental
Tympanoctomys loschalchalerosorum,Continental
Sapajus nigritus,Continental
Crocidura ramona,Continental
Amphinectomys savamis,Continental
Oxymycterus caparoae,Continental
Neacomys dubosti,Continental
Caenolestes condorensis,Continental
Akodon leucolimnaeus,Continental
Crocidura indochinensis,Continental
Cryptotis peruviensis,Continental
Wiedomys cerradensis,Continental
Cryptotis brachyonyx,Continental
Calomys fecundus,Continental
Coendou melanurus,Continental
Cricetulus lama,Continental
Cryptonanus unduaviensis,Continental
Moschus cupreus,Continental
Isothrix negrensis,Continental
Antechinus subtropicus,Continental
Cryptotis tropicalis,Continental
Ctenomys viperinus,Continental
Rhipidomys gardneri,Continental
Thomasomys hudsoni,Continental
Tapecomys primus,Continental
Chibchanomys orcesi,Continental
Sorex maritimensis,Continental
Cryptotis tamensis,Continental
Cryptotis alticola,Continental
Rungwecebus kipunji,Continental
Brucepattersonius albinasus,Continental
Cryptotis colombiana,Continental
Spilogale gracilis,Continental
Phyllomys pattoni,Continental
Nephelomys caracolus,Continental
Anourosorex assamensis,Continental
Marmosops creightoni,Continental
Mico rondoni,Continental
Saxatilomys paulinae,Continental
Pseudomys calabyi,Continental
Ctenomys tulduco,Continental
Cryptotis orophila,Continental
Perodicticus ibeanus,Continental
Marmosops ocellatus,Continental
Cercopithecus denti,Continental
Marmosa paraguayanus,Continental
Cryptonanus chacoensis,Continental
Papio kindae,Continental
Perodicticus edwardsi,Continental
Cercopithecus lowei,Continental
Cercocebus atys,Continental
Piliocolobus rufomitratus,Continental
Elephantulus pilicaudus,Continental
Rhinopithecus strykeri,Continental
