Species,Endemicity
Centronycteris maximiliani,Continental
Cephalophus callipygus,Continental
Cephalophus dorsalis,Continental
Cephalophus zebra,Continental
Cephalophus harveyi,Continental
Cephalophus jentinki,Continental
Cephalophus leucogaster,Continental
Philantomba maxwellii,Continental
Cephalophus natalensis,Continental
Cephalophus niger,Continental
Cephalophus nigrifrons,Continental
Ceratotherium simum,Continental
Cephalophus rufilatus,Continental
Cephalophus silvicultor,Continental
Cephalophus spadix,Continental
Cephalophus weynsi,Continental
Cercocebus galeritus,Continental
Cercocebus torquatus,Continental
Cercocebus sanjei,Continental
Cercocebus lunulatus,Continental
Cercocebus chrysogaster,Continental
Cercopithecus ascanius,Continental
Lagothrix lagotricha,Continental
Cercopithecus dryas,Continental
Cercopithecus erythrogaster,Continental
Cercopithecus cephus,Continental
Cercopithecus mona,Continental
Cercopithecus neglectus,Continental
Allochrocebus solatus,Continental
Odocoileus virginianus,Continental
Cercopithecus sclateri,Continental
Cercopithecus roloway,Continental
Chlorocebus aethiops,Continental
Chlorocebus djamdjamensis,Continental
Cercopithecus diana,Continental
Cervus albirostris,Continental
Rucervus duvaucelii,Continental
Chaetodipus formosus,Continental
Chaetodipus pernix,Continental
Chaetodipus goldmani,Continental
Chaetomys subspinosus,Continental
Crocidura usambarae,Continental
Chibchanomys trichotis,Continental
Crocidura wimmeri,Continental
Chilomys instans,Continental
Chelemys megalonyx,Continental
Chinchilla lanigera,Continental
Chimarrogale hantu,Continental
Chinchilla chinchilla,Continental
Crocidura fumosa,Continental
Ovis canadensis,Continental
Chiropotes albinasus,Continental
Chlorotalpa sclateri,Continental
Calcochloris tytonis,Continental
Chlorotalpa duthieae,Continental
Choloepus didactylus,Continental
Choloepus hoffmanni,Continental
Coendou bicolor,Continental
Coendou nycthemera,Continental
Muntiacus crinifrons,Continental
Abrothrix jelskii,Continental
Chrotogale owstoni,Continental
Chrysochloris visagiei,Continental
Chrysocyon brachyurus,Continental
Chrysospalax trevelyani,Continental
Chrysospalax villosus,Continental
Colobus angolensis,Continental
Dasypus sabanicola,Continental
Clyomys laticeps,Continental
Dasypus septemcinctus,Continental
Colobus guereza,Continental
Colobus vellerosus,Continental
Connochaetes taurinus,Continental
Connochaetes gnou,Continental
Cremnomys elvira,Continental
Cricetulus kamensis,Continental
Crocidura congobelgica,Continental
Crocidura glassi,Continental
Crocidura latona,Continental
Crocidura manengubae,Continental
Crocidura stenocephala,Continental
Crocidura monax,Continental
Crocidura nimbae,Continental
Megadontomys cryophilus,Continental
Crocidura dhofarensis,Continental
Crocidura floweri,Continental
Crocidura allex,Continental
Crocidura flavescens,Continental
Crocidura attila,Continental
Crocidura caliginea,Continental
Parantechinus apicalis,Continental
Crocidura greenwoodi,Continental
Crocidura xantippe,Continental
Cryptotis magna,Continental
Crocuta crocuta,Continental
Cryptochloris wintoni,Continental
Cryptochloris zyli,Continental
Fukomys zechi,Continental
Fukomys bocagei,Continental
Phyllomys blainvillii,Continental
Fukomys damarensis,Continental
Fukomys mechowi,Continental
Fukomys ochraceocinereus,Continental
Cryptotis endersi,Continental
Ctenodactylus gundi,Continental
Ctenomys argentinus,Continental
Ctenomys australis,Continental
Ctenomys azarae,Continental
Makalata macrura,Continental
Ctenomys bonettoi,Continental
Ctenomys colburni,Continental
Ctenomys conoveri,Continental
Ctenomys brasiliensis,Continental
Phyllomys nigrispinus,Continental
Ctenomys dorsalis,Continental
Ctenomys emilianus,Continental
Ctenomys frater,Continental
Ctenomys fulvus,Continental
Ctenomys leucodon,Continental
Ctenomys lewisi,Continental
Ctenomys magellanicus,Continental
Ctenomys maulinus,Continental
Ctenomys haigi,Continental
Ctenomys knighti,Continental
Ctenomys latro,Continental
Ctenomys minutus,Continental
Ctenomys occultus,Continental
Ctenomys opimus,Continental
Ctenomys tuconax,Continental
Ctenomys tucumanus,Continental
Petrogale penicillata,Continental
Ctenomys pearsoni,Continental
Ctenomys perrensi,Continental
Ctenomys peruanus,Continental
Ctenomys validus,Continental
Ctenomys pontifex,Continental
Ctenomys porteousi,Continental
Ctenomys saltarius,Continental
Cynomys parvidens,Continental
Ctenomys sericeus,Continental
Ctenomys sociabilis,Continental
Ctenomys steinbachi,Continental
Lepus victoriae,Continental
Cynomys mexicanus,Continental
Dama mesopotamica,Continental
Eudorcas albonotata,Continental
Beatragus hunteri,Continental
Genetta abyssinica,Continental
Damaliscus lunatus,Continental
Genetta johnstoni,Continental
Dasymys nudipes,Continental
Dasyprocta azarae,Continental
Dasyprocta prymnolopha,Continental
Gerbillus hoogstraali,Continental
Dacnomys millardi,Continental
Dactylomys boliviensis,Continental
Dactylomys dactylinus,Continental
Dasypus hybridus,Continental
Dactylomys peruanus,Continental
Dasypus kappleri,Continental
Gerbillus jamesi,Continental
Dasycercus cristicauda,Continental
Dasyuroides byrnei,Continental
Dasyprocta fuliginosa,Continental
Dasyprocta guamara,Continental
Dasyprocta kalinowskii,Continental
Dasyprocta mexicana,Continental
Dasyurus geoffroii,Continental
